user_id,messages_per_minute,unique_recipients,avg_time_between_msgs,repeated_message_ratio,night_activity_ratio,failed_message_ratio,is_bot
1,2.079117556484354,3,48.2745689578762,0.06250291860852057,0.13876111139348235,0.04210534312417558,0
2,0.6140783453695589,6,77.71727832875501,0.003280962412860844,0.05246859335618914,0.02356541372870606,0
3,2.823351567355379,8,95.81850110765373,0.08888874240036299,0.04401773537427731,0.04664783127641137,0
4,1.6330203312141387,12,58.64608411591471,0.07390265577879587,0.13562276619084176,0.006868087298433712,0
5,4.609582486504121,4,58.8652798629847,0.005770292841589886,0.06236042739115373,0.03673542851325128,0
6,4.627911089580093,3,41.11124711661362,0.0347062368499395,0.02752594687967227,0.049909995383280885,0
7,4.639350273857422,11,96.19068201324154,0.0436419598729593,0.1178429228695711,0.03299967250676586,0
8,4.849946685696513,3,98.24849245639379,0.060306430617051654,0.17954871330194508,0.0007190617992076487,0
9,1.979382246293787,9,31.294320841117354,0.08336431341439585,0.06454531454532768,0.03348772256091239,0
10,3.9880977051250155,8,53.35695494722004,0.09071998215606224,0.005047469169652841,0.039254182861987855,0
11,4.939318619568408,7,79.88082963834914,0.02118943304401091,0.15408944421479798,0.0397830115330721,0
12,2.3882002809250547,2,88.78841098799151,0.029002919364890592,0.0016118206684239578,0.027198655564248376,0
13,3.3947969829905893,7,42.543875546369385,0.014960144952695254,0.03961910334405792,0.03457080287565761,0
14,1.0593375056849512,12,67.29713460955102,0.0015508330626592183,0.023295569934667415,0.026077549195548357,0
15,1.5693689479657986,13,42.88946048466136,0.09373784381643208,0.04799787277399151,0.014069649108608152,0
16,4.574077888802287,4,22.293281126804203,0.05175963013155221,0.15525809550318959,0.0276779266331179,0
17,1.2039666920198873,2,94.171206151293,0.009505304553269278,0.06331735198173023,0.020618324363734054,0
18,4.49245734159347,13,102.52861082328968,0.07196538166105304,0.04534823688138892,0.03180236711695633,0
19,3.140785031093956,6,26.83409355322604,0.054136961015726875,0.030783901956581008,0.018467706504471614,0
20,1.4672317036584055,9,90.00342727721043,0.0776803332139888,0.11579552931082904,0.006454309757123089,0
21,202.03737313295176,588,0.5179232100499505,0.9806274473345602,0.6716888947872863,0.14018301987238738,1
22,0.8982162592336378,2,95.48378199408478,0.06751400611496682,0.15033523440458385,0.01640800361768039,0
23,2.1657141511494995,8,62.429688588488816,0.07813488406144063,0.19788635315592631,0.010614282083429566,0
24,2.5454347914549795,12,62.86305469704757,0.07401613687614632,0.05578761521469536,0.012873948807186243,0
25,4.062105696766318,13,20.702920381361917,0.011849235876840059,0.057465343301780394,0.04277755617179363,0
26,3.8350429218052655,14,79.08674412710415,0.01817232932281565,0.11855418817403696,0.003960657500418541,0
27,1.718745130679334,8,30.593071255849296,0.025530907650393165,0.01914581094887946,0.03796554275751027,0
28,4.643788471778175,2,95.93510257526131,0.04639901314644251,0.1040898808330572,0.007177237797188396,0
29,3.303007141185501,7,30.794371464646435,0.08396596557087904,0.1075565869482753,0.04124034739899154,0
30,3.65436109156604,3,57.12070938899983,0.08506802606048464,0.14678107540037388,0.0425702873945737,0
31,3.0804704965547876,12,113.73532942158644,0.05010878802621971,0.06351091597390035,0.019384757741950337,0
32,1.4583387267900982,13,32.98264489517176,0.03832842396422014,0.016333455172019253,0.005118354229160466,0
33,0.8464095942295684,7,35.37911496680311,0.07820153349329673,0.039968254256387906,0.04312482537007927,0
34,2.069907199443479,12,110.7380164712847,0.048434442629150865,0.04298330627734384,0.022511814333630864,0
35,3.899980123443719,14,52.252797784641515,0.06668666605509217,0.13912493047081162,0.0035457979743989624,0
36,1.1271023333277086,14,64.34558363819042,0.0800073432076868,0.01218574434414399,0.03572298419428909,0
37,1.0717723069334815,14,95.31873359134028,0.0719159896944569,0.19245228932183134,0.028093189490475925,0
38,4.178496027822984,12,23.798156328985346,0.0685700542933644,0.14014510425685275,0.0112919816111696,0
39,3.2277858550289604,11,79.8112629369018,0.06706755253823256,0.004936831444916923,0.0282319928948101,0
40,3.4248376884999434,7,87.59822755863554,0.0992442289374779,0.06642195666162491,0.03529781182900036,0
41,3.3638468506870116,12,87.43038064090484,0.005219862904497163,0.06720141179802175,0.007099712967604233,0
42,4.551881257234987,1,46.60192780053807,0.04973124461689724,0.0971634857825263,0.028121468705896047,0
43,4.920703776088729,5,77.3349345635218,0.0753594630745753,0.07400490482856319,0.01798599309551348,0
44,2.6328273811829255,12,104.37373264067243,0.046952554204386265,0.1977671062778329,0.02214146851921621,0
45,310.1780505448718,904,0.9481525282157153,0.8880311558251666,0.9275826724857363,0.4612762762891143,1
46,1.2673585565928118,5,60.11879140389827,0.07217215527171793,0.02633071775865168,0.0460756695953709,0
47,4.715284949315305,7,78.21482297799723,0.09816533238524479,0.14342411369443872,0.03123319871418584,0
48,4.910146588784647,5,72.54349125456929,0.08737229201822251,0.1782400146127205,0.04224854268200507,0
49,0.8274335286388709,4,62.88868788610386,0.09819056980765392,0.06931175196330952,0.004213218307792555,0
50,475.0645842466368,677,0.6834976846518546,0.7731124635713028,0.540839882433177,0.18624390609721792,1
51,0.8498058663424317,1,53.97774715618851,0.07037923109905077,0.057566259770321176,0.015799857056261368,0
52,2.0083875874065544,9,59.297422534529126,0.08581203942511036,0.15556224889169015,0.035347815924671136,0
53,2.9835807744851848,14,51.96668324405447,0.09111682851800791,0.1569539363649976,0.02095680872210275,0
54,1.8250959179386295,2,29.36724207059102,0.009490844126734621,0.16549974832713468,0.0026287198905501578,0
55,1.77699157609426,6,48.38284470235203,0.08816624823327128,0.17872705066922676,0.04327856100473823,0
56,4.257186065596846,2,80.21169853547795,0.08845832929211878,0.1388034828211484,0.022231382895695234,0
57,4.873019372244323,5,80.25531638428649,0.033209936539313645,0.06795404845976875,0.04266212345985588,0
